paperID,paper title,publish years,authors
1483064949,discriminative recurrent sparse auto encoders,2013-01-16,jason tyler rolfe;yann lecun
1483870316,you only look once unified real time object detection,2016-06-01,joseph redmon;santosh kumar divvala;ross b girshick;ali farhadi
1484210532,multiple object recognition with visual attention,2015-01-01,jimmy ba;volodymyr mnih;koray kavukcuoglu
1484371059,bundle adjustment in the large,2010-09-05,sameer agarwal;noah snavely;steven m seitz;richard szeliski
1485009520,convolutional lstm network a machine learning approach for precipitation nowcasting,2015-12-07,xingjian shi;zhourong chen;hao wang;dit yan yeung;wai kin wong;wangchun woo
1486649854,skip thought vectors,2015-12-07,ryan kiros;yukun zhu;ruslan salakhutdinov;richard s zemel;antonio torralba;raquel urtasun;sanja fidler
1487621638,on testing answer set programs,2010-08-04,tomi janhunen;ilkka niemela;johannes oetsch;jorg puhrer;hans tompits
1487641199,generative moment matching networks,2015-01-01,yujia li;kevin swersky;richard s zemel;richard s zemel
1491468723,fast large scale optimization by unifying stochastic gradient and quasi newton methods,2014-01-01,jascha sohldickstein;ben poole;surya ganguli
1491666714,paraphrases and applications,2010-08-01,shiqi zhao;haifeng wang
1491719799,brief binary robust independent elementary features,2010-09-05,michael calonder;vincent lepetit;christoph strecha;pascal fua
1492129349,learning neighborhoods for metric learning,2012-09-24,jun wang;adam woznica;alexandros kalousis
1492420801,ridge regression hubness and zero shot learning,2015-09-07,yutaro shigeto;ikumi suzuki;kazuo hara;masashi shimbo;yuji matsumoto
1493213172,robust portfolio optimization,2015-12-07,huitong qiu;fang han;han liu;brian s caffo
1495304293,online community detection for large complex networks,2013-08-03,wangsheng zhang;gang pan;zhaohui wu;shijian li
1495981708,a multi pass sieve for coreference resolution,2010-10-01,karthik raghunathan;heeyoung lee;sudarshan rangarajan;nathanael chambers;mihai surdeanu;daniel jurafsky;christopher d manning
1496650988,neural activation constellations unsupervised part model discovery with convolutional networks,2015-12-01,marcel simon;erik rodner
1496848633,bump hunting in the dark local discrepancy maximization on graphs,2015-04-01,aristides gionis;michael mathioudakis;antti ukkonen
1498596004,α clusterable sets,2011-09-05,gerasimos s antzoulatos;michael n vrahatis
1499669280,relative entropy policy search,2010-07-11,jan peters;katharina mulling;yasemin altun
1500188831,temporal collaborative filtering with bayesian probabilistic tensor factorization,2010-01-01,liang xiong;xi chen;tzukuo huang;jeff g schneider;jaime g carbonell
1500351990,large graph construction for scalable semi supervised learning,2010-01-01,wei liu;junfeng he;shihfu chang
1502841054,automatic tuning of bag of tasks applications,2015-04-01,majed sahli;essam mansour;tariq alturkestani;panos kalnis
1504263697,entity resolution in the web of data,2014-04-07,kostas stefanidis;vasilis efthymiou;melanie herschel;vassilis christophides
1504452251,constructing states for reinforcement learning,2010-01-01,m mahmud
1505083629,searching without a heuristic efficient use of abstraction,2010-07-11,bradford larsen;ethan burns;wheeler ruml;robert c holte
1505680913,compositional morphology for word representations and language modelling,2014-01-01,jan a botha;phil blunsom
1506491340,efficiently scaling up crowdsourced video annotation,2013-01-01,carl vondrick;donald j patterson;deva ramanan
1507080742,symmetry in solutions,2010-07-03,marijn j h heule;toby walsh
1507091505,to crowdsource or not to crowdsource,2012-07-15,gireeja ranade;lav r varshney
1507506748,simultaneous detection and segmentation,2014-09-06,bharath hariharan;pablo arbelaez;pablo arbelaez;ross b girshick;jitendra malik
1507514140,cloning in elections,2010-07-11,edith elkind;piotr faliszewski;arkadii slinko
1510851260,a graph based rdf triple store,2015-04-01,xuchuan shen;lei zou;m tamer ozsu;lei chen;youhuan li;shuo han;dongyan zhao
1510916598,robot skill learning,2012-08-27,jan peters;katharina mulling;jens kober;duy nguyentuong;oliver kromer
1511193431,learning better together,2010-08-04,gauvain bourgne;henry soldano;amal el fallah seghrouchni
1514535095,show attend and tell neural image caption generation with visual attention,2015-01-01,kelvin xu;jimmy ba;ryan kiros;kyunghyun cho;aaron c courville;ruslan salakhudinov;ruslan salakhudinov;rich zemel;rich zemel;yoshua bengio;yoshua bengio
1514849215,linking and building ontologies of linked data,2010-11-07,rahul parundekar;craig a knoblock;jose luis ambite
1517258739,depth based hand pose estimation methods data and challenges,2018-11-01,james steven supancic;gregory rogez;yi yang;jamie shotton;deva ramanan
1518788040,relative upper confidence bound for the k armed dueling bandit problem,2014-01-01,masrour zoghi;shimon whiteson;remi munos;maarten de rijke
1518859047,predictive modeling with heterogeneous sources,2010-12-01,xiaoxiao shi;qi liu;wei fan;qiang yang;philip s yu
1520997877,learning to see by moving,2015-12-01,pulkit agrawal;joao carreira;jitendra malik
1521064364,word spotting in the wild,2010-09-05,kai wang;serge j belongie
1521958187,fastfm a library for factorization machines,2016-01-01,immanuel bayer
1522115746,on the complexity of a b testing,2014-01-01,emilie kaufmann;olivier cappe;aurelien garivier
1522177724,boosting with side information,2012-11-05,jixu chen;xiaoming liu;siwei lyu
1522734439,learning spatiotemporal features with 3d convolutional networks,2015-12-01,du tran;lubomir d bourdev;rob fergus;lorenzo torresani;manohar paluri
1523385540,deep canonical correlation analysis,2013-01-01,galen andrew;raman arora;jeff a bilmes;karen livescu
1524680991,multi scale orderless pooling of deep convolutional activation features,2014-09-06,yunchao gong;liwei wang;ruiqi guo;svetlana lazebnik
1525329147,bayesian conditional cointegration,2012-01-01,chris bracegirdle;david barber
1526096287,recurrent convolutional neural networks for discourse compositionality,2013-08-01,nal kalchbrenner;phil blunsom
1528063097,gmcp tracker global multi object tracking using generalized minimum clique graphs,2012-10-07,amir roshan zamir;afshin dehghan;mubarak shah
1529731474,clausie clause based open information extraction,2013-05-13,luciano del corro;rainer gemulla
1531103298,winner take all autoencoders,2015-12-07,alireza makhzani;brendan j frey
1532388221,robust and scalable bayes via a median of subset posterior measures,2017-01-01,stanislav minsker;sanvesh srivastava;lizhen lin;david b dunson
1536043495,a fast heuristic search algorithm for finding the longest common subsequence of multiple strings,2010-07-11,qingguo wang;mian pan;yi shang;dmitry korkin
1536141633,deep semantics for dependency structures,2011-02-20,paul bedaride;claire gardent
1536680647,fast r cnn,2015-12-01,ross b girshick
1537450505,real time personalized search on social networks,2015-04-01,yuchen li;zhifeng bao;guoliang li;kianlee tan
1537528663,avoiding confusing features in place recognition,2010-09-05,jan knopp;josef sivic;tomas pajdla
1537539030,bayesian nonparametric covariance regression,2015-01-01,emily b fox;david b dunson
1538072780,intelligent interaction with the real world,2010-09-20,leslie pack kaelbling
1539012881,proximal methods for hierarchical sparse coding,2011-02-01,rodolphe jenatton;julien mairal;guillaume obozinski;francis r bach
1539648621,deep dynamic neural networks for gesture segmentation and recognition,2014-09-06,di wu;ling shao
1544827683,teaching machines to read and comprehend,2015-12-07,karl moritz hermann;tomas kociský;edward grefenstette;lasse espeholt;will kay;mustafa suleyman;phil blunsom
1545773936,factorized topic models,2013-01-01,cheng zhang;carl henrik ek;andreas c damianou;hedvig kjellstrom
1545826189,integrating expert knowledge and experience,2010-07-05,ben george weber
1545951971,gaussian process regression networks,2012-01-01,andrew gordon wilson;zoubin ghahramani;david knowles
1546547391,regression with linear factored functions,2015-09-07,wendelin bohmer;klaus obermayer
1546771929,recurrent convolutional neural networks for scene labeling,2014-01-01,pedro h o pinheiro;ronan collobert
1547433709,residual component analysis,2011-01-01,alfredo a kalaitzis;neil d lawrence
1550245517,visualizing object detection features,2016-09-01,carl vondrick;aditya khosla;hamed pirsiavash;tomasz malisiewicz;antonio torralba
1552452485,local component analysis,2013-01-01,nicolas le roux;francis r bach
1552708221,matrix factorization as search,2012-09-24,kristian kersting;christian bauckhage;christian thurau;mirwaes wahabzada
